;ARMAZEM;;;;LOJA_1;;;;;LOJA_2;;;;;LOJA_3
DIA;entra;sai;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO;                        chega;vende;quebra;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO
176;  0;  0;225;  0;  0;  1;  0;  7;  0;  0;  2;  0; 10;  0;  0;  0;  0;  9;  0;36130.991
177;  0; 40;185;  0;  0;  5;  0;  2;  0;  0;  2;  0;  8; 40;  0;  4;  0;  5;  0;36450.071
178;  0; 40;145;  0; 40;  5;  0; 37;  0;  0;  2;  0;  6;  0;  0;  0;  0;  5; 40;36649.180
179;  0;  0;145;  0;  0;  4;  0; 33;  0;  0;  5;  0;  1;  0;  0;  3;  0;  2;  0;37001.614
180;  0;  0;145;  0;  0;  0;  0; 33;  0; 40;  3;  0; 38;  0;  0;  2;  0;  0;  0;37142.370
181;  0;  0;145;  0;  0;  0;  0; 33;  0;  0;  3;  0; 35;  0; 40;  0;  0; 40;  0;37221.352
182;  0;  0;145;  0;  0;  1;  0; 32;  0;  0;  0;  0; 35;  0;  0;  3;  0; 37;  0;37330.526
183;  0;  0;145;276;  0;  1;  0; 31;  0;  0;  2;  0; 33;  0;  0;  0;  0; 37;  0;37209.844
184;  0;  0;145;  0;  0;  0;  0; 31;  0;  0;  4;  0; 29;  0;  0;  5;  0; 32;  0;37469.593
185;  0;  0;145;  0;  0;  3;  0; 28;  0;  0;  5;  0; 24;  0;  0;  4;  0; 28;  0;37819.918
186;  0;  0;145;  0;  0;  4;  0; 24;  0;  0;  3;  0; 21;  0;  0;  5;  0; 23;  0;38170.818
187;  0;  0;145;  0;  0;  2;  0; 22;  0;  0;  2;  0; 19;  0;  0;  0;  0; 23;  0;38281.910
188;  0;  0;145;  0;  0;  2;  0; 20;  0;  0;  3;  0; 16;  0;  0;  2;  0; 21;  0;38483.337
189;  0;  0;145;  0;  0;  4;  0; 16;  0;  0;  2;  0; 14;  0;  0;  2;  0; 19;  0;38715.148
190;  0;  0;145;  0;  0;  5;  0; 11;  0;  0;  4;  0; 10;  0;  0;  5;  0; 14;  0;39127.630
191;  0; 40;105;  0;  0;  0;  0; 11; 40;  0;  4;  0;  6;  0;  0;  2;  0; 12;  0;39299.261
192;  0;  0;105;  0;  0;  0;  0; 11;  0;  0;  2;  0;  4;  0;  0;  5;  0;  7;  0;39503.978
193;  0; 40; 65;  0;  0;  4;  0;  7;  0;  0;  4;  1;  0; 40;  0;  0;  0;  7;  0;39737.939
194;  0; 40; 25;  0; 40;  4;  0; 43;  0;  0;  0;  3;  0;  0;  0;  3;  0;  4; 40;39941.928
195;  0;  0; 25;  0;  0;  0;  0; 43;  0;  0;  0;  4;  0;  0;  0;  1;  0;  3;  0;39968.716
196;  0;  0; 25;  0;  0;  4;  0; 39;  0; 40;  5;  0; 35;  0;  0;  2;  0;  1;  0;40294.113
197;276;  0;301;  0;  0;  0;  0; 39;  0;  0;  5;  0; 30;  0; 40;  1;  0; 40;  0;40456.765
198;  0;  0;301;  0;  0;  3;  0; 36;  0;  0;  1;  0; 29;  0;  0;  3;  0; 37;  0;40649.752
199;  0;  0;301;  0;  0;  3;  0; 33;  0;  0;  2;  0; 27;  0;  0;  5;  0; 32;  0;40933.218
200;  0;  0;301;  0;  0;  3;  0; 30;  0;  0;  2;  0; 25;  0;  0;  1;  0; 31;  0;41096.973


SALDO FINAL =;41096.973

N.B. stocks/pedidos referem-se às quantidades acumuladas/                        encomendadas no final de cada dia

CONJUNTO DE PARÂMETROS USADOS
Preço de venda ao público (nas lojas);100.00;€/u.
Preço de compra ao fornecedor;70.00;€/u.
Prazo de entrega do fornecedor ao armazém;14;dias
Prazo de entrega do armazém a cada uma das lojas;3;dias
Custo fixo de encomenda ao fornecedor;200.00;€/enc.
Custo fixo de entrega às lojas;2.75;€/enc.
Taxa de juro anual de posse no armazém;21.00;%
Taxa de juro anual de posse em cada loja;25.000000;%
Tipo de distribuição das vendas (u./dia):
            ---> Loja 1;Uniforme;[  0.000,   5.000]
            ---> Loja 2;Uniforme;[  0.000,   5.000]
            ---> Loja 3;Uniforme;[  0.000,   5.000]
Duração do jogo;200;dias
Stock inicial no armazém;125
Stock inicial em cada uma das lojas;25
