;ARMAZEM;;;;LOJA_1;;;;;LOJA_2;;;;;LOJA_3
DIA;entra;sai;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO;                        chega;vende;quebra;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO
197;  0; 17; 77;  0;  0;  1;  0; 15;  0;  0;  5;  0; 12; 17;  0;  0;  0;  3;  0;39791.791
198;  0;  0; 77;  0; 17;  0;  0; 32;  0;  0;  5;  0;  7;  0; 17;  5;  0; 15;  0;40086.101
199;  0;  0; 77;  0;  0;  5;  0; 27;  0;  0;  5;  0;  2;  0;  0;  3;  0; 12;  0;40471.034
200;  0;  0; 77;  0;  0;  2;  0; 25;  0; 17;  3;  0; 16;  0;  0;  3;  0;  9;  0;40705.536


SALDO FINAL =;40705.536

N.B. stocks/pedidos referem-se às quantidades acumuladas/                        encomendadas no final de cada dia

CONJUNTO DE PARÂMETROS USADOS
Preço de venda ao público (nas lojas);100.00;€/u.
Preço de compra ao fornecedor;70.00;€/u.
Prazo de entrega do fornecedor ao armazém;14;dias
Prazo de entrega do armazém a cada uma das lojas;3;dias
Custo fixo de encomenda ao fornecedor;200.00;€/enc.
Custo fixo de entrega às lojas;2.75;€/enc.
Taxa de juro anual de posse no armazém;21.00;%
Taxa de juro anual de posse em cada loja;25.000000;%
Tipo de distribuição das vendas (u./dia):
            ---> Loja 1;Uniforme;[  0.000,   5.000]
            ---> Loja 2;Uniforme;[  0.000,   5.000]
            ---> Loja 3;Uniforme;[  0.000,   5.000]
Duração do jogo;200;dias
Stock inicial no armazém;125
Stock inicial em cada uma das lojas;25
